"Model","Efficiency Ideal","Efficiency Loss per 1 C","Kandy","Matale","Nuwara Eliya","Ampara","Batticaloa","Trincomalee","Jaffna","Kilinochchi","Mannar","Mullaitivu","Vavuniya","Anuradhapura","Polonnaruwa","Kurunegala","Puttalam","Kegalle","Ratnapura","Galle","Hambantota","Matara","Badulla","Monaragala","Colombo","Gampaha","Kalutara"
JW-HD132N,22.50,0.03,22.37,22.49,22.5,22.28,22.29,22.35,22.36,22.29,22.38,22.31,22.33,22.35,22.37,22.35,22.29,22.46,22.39,22.31,22.28,22.31,22.50,22.28,22.34,22.29,22.35
Himalaya G12,22.50,0.03,22.37,22.49,22.50,22.28,22.29,22.35,22.36,22.29,22.38,22.31,22.33,22.35,22.37,22.35,22.29,22.46,22.39,22.31,22.28,22.31,22.50,22.28,22.34,22.29,22.35
Chaser M12 132P,22.20,0.04,22.03,22.19,22.20,21.90,21.92,22.00,22.02,21.92,22.04,21.94,21.97,22.00,22.03,22.00,21.92,22.14,22.05,21.95,21.91,21.94,22.20,21.90,21.99,21.92,22.00
Vertex,20.60,0.08,20.26,20.59,20.60,20.01,20.04,20.21,20.23,20.05,20.28,20.09,20.13,20.20,20.26,20.20,20.04,20.48,20.30,20.11,20.02,20.08,20.59,20.00,20.18,20.04,20.20
Titan,20.40,0.09,20.02,20.38,20.40,19.73,19.77,19.96,19.98,19.78,20.04,19.82,19.88,19.96,20.02,19.95,19.77,20.27,20.06,19.84,19.75,19.82,20.39,19.73,19.92,19.77,19.95
Astro 6,19.90,0.17,19.18,19.87,19.90,18.64,18.71,19.07,19.11,18.73,19.22,18.81,18.91,19.06,19.18,19.05,18.71,19.65,19.25,18.85,18.67,18.80,19.88,18.63,19.00,18.72,19.05
HiKu7,19.90,0.17,19.18,19.87,19.90,18.64,18.71,19.07,19.11,18.73,19.22,18.81,18.91,19.06,19.18,19.05,18.71,19.65,19.25,18.85,18.67,18.80,19.88,18.63,19.00,18.72,19.05
Mono GG,18.60,0.25,17.54,18.56,18.60,16.74,16.85,17.38,17.45,16.88,17.60,17.00,17.15,17.37,17.55,17.35,16.85,18.23,17.65,17.06,16.79,16.99,18.58,16.73,17.28,16.86,17.35
Ultra X Plus,18.60,0.25,17.54,18.56,18.60,16.74,16.85,17.38,17.45,16.88,17.60,17.00,17.15,17.37,17.55,17.35,16.85,18.23,17.65,17.06,16.79,16.99,18.58,16.73,17.28,16.86,17.35
S5 Bifacial,18.60,0.25,17.54,18.56,18.60,16.74,16.85,17.38,17.45,16.88,17.60,17.00,17.15,17.37,17.55,17.35,16.85,18.23,17.65,17.06,16.79,16.99,18.58,16.73,17.28,18.86,17.35
BiPRO,18.10,0.29,16.86,18.05,18.10,15.95,16.07,16.68,16.76,16.10,16.94,16.24,16.41,16.67,16.88,16.64,16.06,17.67,17.00,16.31,16.00,16.23,18.07,15.93,16.57,16.08,16.65
Aurora,17.40,0.37,15.82,17.33,17.40,14.65,14.81,15.59,15.69,14.85,15.92,15.03,15.25,15.57,15.84,15.54,14.80,16.85,15.99,15.11,14.72,15.01,17.36,14.63,15.45,14.82,15.54
Tiger Pro NEO,16.90,0.41,15.15,16.83,16.90,13.85,14.03,14.89,15.01,14.08,15.26,14.27,14.51,14.87,15.17,14.84,14.02,16.29,15.34,14.37,13.93,14.25,16.86,13.83,14.74,14.04,14.84
Deep Blue 3.0,16.30,0.46,14.34,16.22,16.30,12.88,13.08,14.05,14.17,13.14,14.46,13.35,13.62,14.03,14.36,13.99,13.07,15.62,14.55,13.46,12.97,13.33,16.25,12.86,13.87,13.09,13.99
Q.PEAK DUO XL-G11.2,15.50,0.53,13.24,15.40,15.50,11.56,11.78,12.90,13.05,11.85,13.38,12.10,12.42,12.88,13.26,12.84,11.78,14.72,13.48,12.22,11.66,12.08,15.45,11.54,12.70,11.81,12.84
